Name,Photos,Paperwork/Receipts,Status,Type,Style,Brand,Model,Year,Serial Number,Link,Date Acquired,Purchased Location,Replacement Value,Purchase Value,Maintenance,Accessories,Notes,ID,Asset Link,Record ID,Checked Out,Date In/Out,EPC,Location,Linked Instruments
XLR Cable - 25ft Pink LYX,91HrBien-KL._AC_SL1500_.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/tlLnW0RERMsU9HhCsmCe5w/2Mm8cAJtTJdQ_iUSdYZSnlGerToww23kSIl92oAASIM2bQQqsVfEmFJFdBkEo0wrd874wTvm7-_4pJAya-I4nB49lu376sN_bNIbO4cqe9mSgqSTo7CydrY7jGy2I9NARRgWBnwdYOM16WykC6r1w4YocKyo210itzxuKHsMq2o/RGK42gnaMZw7qG-DxLn7zKbyPHqHC26p8GZXReXVrIw),Screen Shot 2022-04-01 at 8_23_14 AM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/OAld0OC1EPvUdTS-vj3Hrg/UUzHN61YFIJFgknZfy660MCj-Zr6Kc0bwpTINWqzY3C3_qAtqtDOLbF1svj1_TxSFw6aAtLdHxSwRbwR61CT_MsEa-VEVg8RxZErpeN9WwjFCXXYCD6fN6DRKAofoHYw--TM-i25COQqSRHvET6WPn0cXuGRJAJXzCL1k8AOu9c/FbOl1jovqT92F4URhyEF5KBst3tPLmxxr0eiSyvdabY),Current,Cable,XLR,LYX,XLR 25ft,2015,,,2015-09-28,Amazon,$17.99,$12.95,,,,81,https://gearcheck.nicholewagner.com/item/81,recdAlK9rACJoXC8z,,,,,
XLR Cable - 25ft Black LYX,,Amazon_com - Order 114-6552460-8230627.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/SYCYAUSYKe0hn5Dql6OozA/D8YYZcbM8zjVyewidZvepef9WuTrNkS1uLGdlYe5xisO_d7sN-uZMY-davEDBIWb32NxpGsQlFB0cFcY8hldgSlrDJnLG6LGE4T4QOhfwKq3C28ggoGBEH3jcc855VIWbRP4W_t8mEe486FVWl7wn8QA4OUNsgtNpbx3IMr8KZwRB3cZgBJ32mbXrAtdOv_O/5PILh03rvmF8JmdUDOJS1xDMDZt0sHf82wdqLZFEWV4),Current,Cable,XLR,LYX,XLR 25ft,,,,2016-02-15,Amazon,$24.00,$17.00,,,,61,https://gearcheck.nicholewagner.com/item/61,recR2yVe0EGdwzQUF,,,2018081410257A031A200114 ,,
XLR Cable - 25ft Black LYX,,Amazon_com - Order 114-6552460-8230627.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/SYCYAUSYKe0hn5Dql6OozA/D8YYZcbM8zjVyewidZvepef9WuTrNkS1uLGdlYe5xisO_d7sN-uZMY-davEDBIWb32NxpGsQlFB0cFcY8hldgSlrDJnLG6LGE4T4QOhfwKq3C28ggoGBEH3jcc855VIWbRP4W_t8mEe486FVWl7wn8QA4OUNsgtNpbx3IMr8KZwRB3cZgBJ32mbXrAtdOv_O/5PILh03rvmF8JmdUDOJS1xDMDZt0sHf82wdqLZFEWV4),Current,Cable,XLR,LYX,XLR 25ft,,,,2016-02-15,Amazon,$24.00,$17.00,,,,98,https://gearcheck.nicholewagner.com/item/98,recVPtv0sj9qEcLXs,,,,,
XLR Cable - 25ft Gearlux,,Screen Shot 2022-04-01 at 8_22_30 AM.png (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/KV5zsG2rcG5xWi3YrCUo3g/8PDJlT4EKb3-ef5k4U41AZN5s9wv45TrEHDoKZxzeed_VSE4yVsgwewAJX1KfWI1KeyCBQj4XA6ro8O5cf5B2OZQvs1wTxUTDV6yjkaQvbRoUdap6wP-Y0IG9BGW71VGkx_UX0ZSBxYuHwDntZDKr89GcIAnDt0s--6sawVgibo/QyZG2wEU1lPKFA60iM5I4IJNl31r2YntSaz1-I-JrH0),Current,Cable,XLR,Gearlux,XLR 25ft,2021,,,2021-06-14,Amazon,$30.00,$25.99,,,,62,https://gearcheck.nicholewagner.com/item/62,rec2UijhysNLh53zk,,,,,
Sennheiser e609,2022-03-31 21.56.01.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/zTgmDxjfePEUcwtrGPu9_w/DYRH0qXQeaz4Av4GIkpUfbSOyIiC8cy2QLuG5CnNv4GKandW4DuwWZI89kXXD0fdI0-chFivHg3NKrpBhhDvIyGervXvcRkD8QLXhD8ZGEBWuFeoagQfbyci4boExCBuv0QI2HEi3ECxfR_sq-R5aGyj1I1lbgwPC27cfQnTaq8/eFDWnPqykMGNjvYkAQCNf_DSgY-72eHigseI4WAyvoc),2022-03-31 22.22.51.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/pvEyyQiq6IEcDUUXtsfoKQ/CW1YTMVGIlN9yowEa0CEz33uz0-8MisTaZx8-a3MRpk5Z_OGME3wPSUlsowL25i6KMtNSIino9-8eUpZmPP6wBRbuh6vyLoJS0stKVZZW_8gCijlF8lZId4WYDLZ14GPd24Lgwod-De0MwhogkSwLxKEGzj6IOLkKdhZpvwEgvg/AK2xw9S4DyzJ8qnRtzuet8n2ar4qpEDRwyKh8xF4938),Current,Microphone,Instrument,Sennheiser,e609,,,,2022-03-25,Reverb,$100.00,$100.00,,,,54,https://gearcheck.nicholewagner.com/item/54,rechDs6JWpl4sqpZb,,11/2/2022 4:42pm,2021062512249A011030041C,,
Shure 57,2022-03-31 21.57.05.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/YelRNSL4dDuUACGXogsPIA/1EeExyEHh89Fe9SU2FVGfyKePqGxQ3lwaUmKMv1kC7hHnW0diW6G5n7MC-Zdz2_d78e2Cf6qgypTbVDdSpLD8ku0p1tQ2AkXMkfQqxihufD1-25v-mYRiPBqh1rpBBsbj8Djupvls2Vc1ILJj1IFKq5QKQMnaeNMt7ouJdFJ2s4/pIuQ1ydJizItTXEmjv0X_t9cN7AdBd0WMmQ4snnv6hY),2022-03-31 22.24.04.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/wEnEQ3mAfCJCkr6w4A43kw/rzrieAIrsMlSo5Nzz9SPsjcD3dxs9AmBAJR-D5PUwU4gmgK-M7eTSjmemWeaFcFpzUZj4hn9lmV-c-gcoK6tq9VmnkJts1t4a2xQaklqdU1WHSc2AS9uxvh7Q_AxpzXK7D8XCzPJZVMQ0DGCVZqahjR4duBlCjnmO457hGTBQKc/KHmFVEpQ49M9Qhoc-lPiRZzNTiauZHysUkaM8M-rlJw),Current,Microphone,Instrument,Shure,SM57,,,,2022-03-26,Mercari,$100.00,$69.00,,,,5,https://gearcheck.nicholewagner.com/item/5,recdkHeO3OnOtz2Hp,,,,,
Shure 58A,2022-03-31 21.54.58.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/QEKFJVjDlnf9G541F-4wUA/qOkcsddfhmYQJW12IknNI9ehZn2Rd9rMr-Bo-VpiNES3OWBAy6GIPomaKwE-iQ6rRucKbIE3aolCQIgBMmEJUIhDtuUSjqP57dY6BzbISrSSTem_9egvshmYI1EOqrcefSB9SvOgZqzHN2iujJdjmKxabKtb_HjP_wuKvaSFzHA/DIvhOhM1Eo90ZtPn4caut8-vK_T8R7IVCsRhTunFza0),,Current,Microphone,Vocal,Shure,SM 58A,,,,2015-02-01,Amazon,$100.00,$100.00,,,,7,https://gearcheck.nicholewagner.com/item/7,recTX8A8jL2GbFlO3,,,,,
Shure Beta 87A,2022-03-31 21.55.41.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/LgP8en08TrqirqJ_jbhlRA/DgiqRUZqfXPB8sCt4QppWpNebYRDqZV7rpwKNP_70GX0ktmGi6jLwRgBG509fAQAO9y0jwpQ_cfGN1xEZKfHfQmxDT9CE8iCz94I96gvelxcfOzWVGrJN4OTbM4lHRMuNXhbh_QwXiSjCHkhF3vh9EyimKMokLA__fpJtZBf3l4/BsgzHWFfczbbo4UF1bqXoOQJqFspccghaHyskzq6wlw),beta87.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/g_4MEiiV__u16OuQs2bzFg/07O9lxwB2AKBmS_JkB7yQSor8BcrIq7xwBm5WT8v3ltoUcEh58j51s_jI1M6aZLTCUg8epmJyDWrd_C4Sd1YGyJuAyg-vMl-5eYqD-7TW8hbRXyay-WGxwsqh5xlUKXxBw6G4-_vsAPxcZbpOe8KLQ/Tms3hH2HqMSlQyA3HOIHa-5JThogMW3MnGuZCHJQbms),Current,Microphone,Vocal,Shure,Beta 87A,,,,2016-01-01,Musician's Friend,$329.00,$154.38,,,,12,https://gearcheck.nicholewagner.com/item/12,recRGvsN3NYwyETxC,,12/1/2023 4:29pm,2022062512247A031020021A,,
1Spot Truetone (On Electric),,Amazon_com - Order 111-6692935-9569022.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/ayR7Vh9gT0wx0EdUbS_wEw/-ENcsMK1QbqPAJiFgwKPwvQTHEDttwmJMlluZYQ_sQWTQKat98Ulrt9gbufdanh8pFlAYD_TBjBRXdzS61iSsFWnR6WCMyIFxAvkBKkHXofiKoVwL38RZb9sFFIDs4hc9ZdEiH7M2AtO850mcDgt-3oKZaC5n_LX8dXq3i24sVrOIs94dXUqQCP6xMGeCsjj/bskvYONldOlRIpXBIVYfOU83CaLkSJfm1OFdqK15bVk),Current,Other,Power Supply,TrueTone,1 Spot,,,,,Amazon,$25.00,$25.00,,,,89,https://gearcheck.nicholewagner.com/item/89,recz4Xidaoe6ubNWY,,,,,
1Spot Truetone (On Acoustic Board),,Amazon_com - Order 111-6692935-9569022.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/ayR7Vh9gT0wx0EdUbS_wEw/-ENcsMK1QbqPAJiFgwKPwvQTHEDttwmJMlluZYQ_sQWTQKat98Ulrt9gbufdanh8pFlAYD_TBjBRXdzS61iSsFWnR6WCMyIFxAvkBKkHXofiKoVwL38RZb9sFFIDs4hc9ZdEiH7M2AtO850mcDgt-3oKZaC5n_LX8dXq3i24sVrOIs94dXUqQCP6xMGeCsjj/bskvYONldOlRIpXBIVYfOU83CaLkSJfm1OFdqK15bVk),Current,Other,Power Supply,TrueTone,1 Spot,,,,2016-06-02,Amazon,$25.00,$25.00,,,,88,https://gearcheck.nicholewagner.com/item/88,recxAH5SzZfvozfkP,,,,,
1 Spot Daisy Chain Cable,,Amazon_com - Order 114-7933770-1940258.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/Qv0irhLNs0AV-E4GiQwvMA/XiIw1YU_rmzlHR9-7TJlwskeagqKXkR0bARlEAM-64Dmk2065hiXz0PBFcl-yBkjVKOJQr_o-3hWfh4JjQRbNoXXp2-_DGEhSDdLXCQNpWsvsy4XEKXBAXutlRYKGE6tPQ2U0N1V2l7CBQDPR61FqSUmO-63x-GRlE8yOATa3j4bAs5LADD2NJswOIwlDo_-/htafXtT8_dBfvs0uO4GL8Cg-E9qXpq5uSI47USRgSdk),Current,Other,Power Supply,Truetone,One Spot Multi Plug 8 Cable,,,,2021-07-31,Amazon,$15.00,$15.00,,,,90,https://gearcheck.nicholewagner.com/item/90,recbWf0Lg0sW6tDzD,,,,,
1Spot Truetone,,Amazon_com - Order 111-6692935-9569022.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/ayR7Vh9gT0wx0EdUbS_wEw/-ENcsMK1QbqPAJiFgwKPwvQTHEDttwmJMlluZYQ_sQWTQKat98Ulrt9gbufdanh8pFlAYD_TBjBRXdzS61iSsFWnR6WCMyIFxAvkBKkHXofiKoVwL38RZb9sFFIDs4hc9ZdEiH7M2AtO850mcDgt-3oKZaC5n_LX8dXq3i24sVrOIs94dXUqQCP6xMGeCsjj/bskvYONldOlRIpXBIVYfOU83CaLkSJfm1OFdqK15bVk),Current,Other,Power Supply,TrueTone,1 Spot,,,,2022-07-01,Amazon,$25.00,$25.00,,,,87,https://gearcheck.nicholewagner.com/item/87,rec089jrUzfnESkK8,,,,,
JBL Eon 610 10in Powered Speaker,"2022-08-20 11.57.43.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/Qq6m7y2h9dypAgOqpXqhCg/sBPL6pcy7Yoq9Syw-gKzFNE-R2tJ2DUhDDrHXhsv0RjFe-N-VbcsLpJ54RRFDF5SXHKcR8ZP4zGzchUBbf4T03tcSuh3xCYq3akdjzesJANLYSozrbgN01TdSCOy_8SCJDPlX6Yo3dOQq--LqALXGXzR99kqD1x5p6VMlqwc2oo/Sj6CxGchtnFVmpDhlUwuUbXHSNCE4VXCqeOc03CVvzc),2022-08-20 11.57.43.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/5gkC8gtQmf3obDoOD1dWaQ/2XDDoH9FRAp9P_i8M_Y4DfeWBvPfsM_GLBhMLKMfOvCNTpuU4LFimDYIx3So7SOUXkfyCOWa3Hni-yiWhoTqr3pHV9rMDWCcBiRvAAvO9LQI0U7XTA8fb9YZPXpyXJLWyqbV7D3xIJEilHVNdqy34yyNa5UMELHjsnKcgMZqAGY/TEobqG-H0xuZB4JbihKRXJDqkAHjYb3VGH_JIiyUy54)",2022-03-31 22.11.31.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/cA5TvNj7tkUFsnYcF2xJNw/cJ_yHOdsvQS5PJJYTCSdVSybkbCqv4dgtyKnEZ9_LOA9_78fUHEzCWIzuXDiRDYHyOvzN7j3cXniu1P-0dut4JjtHyzD55OOub3JgIaofisGCFkuN6oi9PQ6JhJ8zoXhbliij_UWB1PcBjlKCIzCkrLJNrBpG6M6KdoOVV4uGT8/JJNPmlWvER0ssI5ce_R0pi3R1wxAJ1jZBl06guSPHE0),Current,Live Sound,Speaker,JBL,"EON610 10""",2019,P1389-302390,,2019-05-23,Reverb,$400.00,$214.00,,,,30,https://gearcheck.nicholewagner.com/item/30,recMiUU98X3ELu2gz,,3/17/2023 5:27pm,E200001D700D02611780EADA,,
JBL Eon 710 10in Powered Speaker,"2022-08-01 12.23.37.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/BiRXKD4zTaqBSRoZE-bHHw/2HKyr7_0RpysJjXm1oBUgxyr0i5OitX-K6Ai4nmd2UdniLXKNEd0_n91ixDZcKUBwOAn6SevvCf8h2Ku_OddFvooujirYvXtuf6MoxlVkir7dYeSjd8oMd-SqPOd_sBbC9SxBhbFWOSJ4FXIKA4ODhSPdizFvdF4bh6d36Kf5xY/6FoBrQvwWenGDDII4c6QnUlGkx8lcqj2mrFsOTJll6U),2022-08-01 12.23.40.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/XEzpxJTpZR_efeVTT4aYTw/I4TNjsmOYxOSkYIo_wjZpKOU2SYYqyynSiQrG3nlnpXS-XlTqalITtPSTbvL9pWDRbmWxr3nuLM_EaUmwEzNt-44HO2VV4FSICpTVBhCMab1APMBUOoCLw_3kpZQs_T_IfUnOpTVhhKVQ7cn32TwXMOZ83irV4Gzn43CMdiggb8/lb4sm9MgWCj0PgDtBb7vJPKSXNlyTQg8tC773U3IQ_0)",Gmail - ProAudioStar_ New Order - 300100684.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/CgqzQnmgpGrY_MzaDHhG1g/6P3P6LaIvPlZp4Ax_p5FA8tXbFuNnuZJpIf6AKcWbCeHAi8vnsMt2bQf0cI5Kq_c95sHQ43UefkA8RVapUEMCiahIksTdVdb55p0L9WwGv9PluNSe9zKLPe9Jx6J36v5u1mK9a9T3VCuGqUXBOv4oMw7OtKYvrnaNWm29Tc-iCUiQ-hCuLf2-4kjVTBEZwIC/jBkTFFfHi8gAtHl-7KnjXnh4CpjYBO9geepKvXRi46k),Current,Live Sound,Speaker,JBL,"EON 710 10""",2021,P3297-0001942,,2022-07-26,ProAudioStar,$500.00,$388.00,,,,83,https://gearcheck.nicholewagner.com/item/83,recEP6kbfEB1RTkNo,,10/15/2022 9:01pm,E200001D700D02881790F538,Shed,
JBL Eon 710 10in Powered Speaker,"2022-08-01 12.23.54.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/AEPrnnxjQ3gmD3HYdcxiMw/Bl3LyAc0dWep_tI3ZnZGL7yUI5eBGgpDWReBLXLBEFo79Rt7mJYP7nCgVH1fJObglqrmzyjCANI2KqDq4zICefdR-7XYTYZf0OAH0JXYYGFzoHEVx-xFHSbfVU4iXJo--5YtrVvtle5uxdI7L2ICLuouHk19ld7cnmsHFMf6ndU/OIYfDe2x4bISFSgv-tm4_3VqPdSyF7uPETqehOm65DU),2022-08-01 12.24.23.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/BjBL4UoonER76zJiUwN3BA/mLboPZieIIu9s22eDJH4nLH5FhUjJMyJSGST4yL_qaBaWnOlH8_FMtIrHP5ittGXiqeKodWdEo8pcZtyKXB50OO2BDocf9wlI8LuJIaiTS_4eC_dnKTFmv2FNUgg0oZ6Ps17Q3tUyW-Sb20rbDVRqu7JQphc6NUgjvPlmUJbTdQ/5DUFAFrIdD82HR9IyiilFodeEX2rT25z9a5CfqpvcEQ)",Gmail - ProAudioStar_ New Order - 300100684.pdf (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/CgqzQnmgpGrY_MzaDHhG1g/6P3P6LaIvPlZp4Ax_p5FA8tXbFuNnuZJpIf6AKcWbCeHAi8vnsMt2bQf0cI5Kq_c95sHQ43UefkA8RVapUEMCiahIksTdVdb55p0L9WwGv9PluNSe9zKLPe9Jx6J36v5u1mK9a9T3VCuGqUXBOv4oMw7OtKYvrnaNWm29Tc-iCUiQ-hCuLf2-4kjVTBEZwIC/jBkTFFfHi8gAtHl-7KnjXnh4CpjYBO9geepKvXRi46k),Current,Live Sound,Speaker,JBL,"EON 710 10""",2021,P3297-0001936,,2022-07-26,ProAudioStar,$500.00,$388.00,,,,84,https://gearcheck.nicholewagner.com/item/84,recLNnXE7TgzjTbWM,,10/15/2022 9:01pm,E2000020270F013722606CEC,Shed,
JBL Eon 610 10in Powered Speaker,"2022-08-20 11.50.41.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/tAKaTqqjqGdDBs4a5dx2qA/vBuylQDunyV_KGyLj-ohj4k5qCzsbrMn-7hox9VVOfMdcyuKNLGO498aRQRxwD9iubtFRZ30vL9RXD6pcFvkmj0cVtAsHZQTLRrvVwi-WKJbC3G3GxpykQ3esTbfsOWVDVnEhzV8LJGHpdJvHN3-vf_zQjIq5J8-BajZLgl6bMQ/qGigjItvEXyCv4X24LIEPOkymdl-TKCzfJpPQwVmFUg),2022-08-20 11.50.41.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/_jGcrjGZxq1KFYBDbUhbnA/YQBuSU_174xMus1q8W3mUhZ2n9ISFGBJPYo24it3z4m9tEYbkShNu1Dlt6kMVhWcLjf3-4YHls_5bOGyITTpbIqNMsb-XDxliIpCNjPfgLt-s-bmQQpJ8iAhUnypTXEhQ3U-d2nRvKvSeWf1ER-djwBbMlJ9PbmHBQ4QMyZkcU8/WX4vUKc0qu25F8Z5N6M-KLwpdQ3m0tZUPxPFt9c_RJ4)",2022-08-20 11.51.10.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/xWRy27f7Em2JX_FpfAxg5w/Ty5HGKDtAJM0ZQgbPhIzofBAcK6iyPl8_Kzz6DyO75Ceaqh9B6BfG7nBWNfdk3S952CfxQKkAT77YS4yjdknQ47dpsDLyyOOAeRe0IYrN9a0SECIVmkLy-jL8zZ1DBiSUxAl4N2vvw5oPtN9CFmV4Tf3-XlsXSd3V4PWLfps_s8/R8w1Tv3DLvn35L9nuvC4S8MQT8w-NPLdYcoobtkggCE),Current,Live Sound,Speaker,JBL,Eon 610 10”,2019,P1389-9813803,,2022-08-20,Mercari,$400.00,$335.00,,,,101,https://gearcheck.nicholewagner.com/item/101,recgKEdpVobs0ZF6C,,11/2/2022 4:42pm,E200001D700D02801780F180,,
Tree Strap,,,Current,Other,Strap,Michael Parham,,2019,,,,,$1000.00,$725.00,,,,72,https://gearcheck.nicholewagner.com/item/72,recbeGFh9nsfMcj5f,,,,,
Beaded Strap,,,Current,Other,Strap,Jodi Head,,,,,,Jodi Head,$300.00,$260.00,,,,74,https://gearcheck.nicholewagner.com/item/74,recglGVHbdu230nqy,,,,,
Blooming Cactus Sunset Strap,2022-03-31 22.16.30.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/aeh1YZn4I8Rskl5CC6Ub8g/pKJg5LVn8zue1SP_k8ecJQUHSDiluqqgF0VulS1xsTSVb4X7ZAMr0nmALefw2UjwtLgg1m4MjzHubOv2uo8seclvt7uFB5AVsrnrvhfqKYb22mIMWaXZgFLhVUR7oiNW_UnYGIDelfKsDSGrBDpfWgUUHt9UXFSkeG09v_fL1SE/_ulg32j8X0WWKvZ1Ik_hqFJB2zyqJosOwR4y7eOLx2Q),"2022-08-20 19.43.00.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/iLvuA9YwAxqhvtcbrTp3oQ/qTkwZDP25LQqNUW3c1d5TA0tML4wC2KnuDqHdz4QvRFKTjs939b4XwkytLQFTTFCCPWiahWTB1sUK7bAKEa7dz-F4amc30s7xpP7sp9PtJFLEc579xHQIX-rFX7KHURP-DtE98uti6D2oHNK-zvCHjrHVK7VjygYHxMr0nX1LAY/YubViBSjHMBfp4GfGDA-SYPvmxuh26Vk_5xeieMyiFw),2022-08-20 19.43.10.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/bkZ5J-C6kkWJK7UOIyjzrQ/cZQk3JllGbW5rkrmoDNg10F8y_CoUXd4oNR2kxHpErofrLdwvxcqZ_VtoBCX1IutJlwvzFv5VUPwYw9DMlkWZHu3y3qkwwzYk0YVWBwdqiS-KCGruocYhPGLuzn5lkkh6Ohx7UkxYLYVy07SXt-whieB8Mf9-PDoSe1qbfhHmR8/EQSl5oHJ8t90LhB_spSl4G656OWRo-o5O_OOvdmxdto)",Current,Other,Strap,Michael Parham ,,,,,,,$1000.00,$500.00,,,,75,https://gearcheck.nicholewagner.com/item/75,recWveGmh7q3xDLJS,,,2022011415705A01106001C1,,Rosie Country Western
River Strap,,,Current,Other,Strap,Michael Parham ,,2019,,,,,$1000.00,$500.00,,,,76,https://gearcheck.nicholewagner.com/item/76,recfZF0SPatjKUj0s,,,,,
Name Strap Cactus,2023-08-11 14.51.19.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/-LetiPc-WnjrVk13ffWnCg/vZw3yI1k4LVty5aMiogdKzr4QxvDxR64uShsUjr0-npwtH331C5E_aIue1J-nJptKYtFfqaUpryMzIIU5ZCtrMzzP60PXtDikcf9HmwQsvfO7Zexp3sU4n85znztMZ6GcUTslwgei7db3ygph8ABY3rnbke_wZi5Pc_tf2f6_R0/K8B7rUWwWAb6xWGYWpEvjwNj0VC5SGNlrarpdSwdkSA),,Current,Other,Strap,,,,,,,,$300.00,$250.00,,,,77,https://gearcheck.nicholewagner.com/item/77,recrXKH3NLpqMKKx6,,,,,Gillian J-50
Roses Tooled Strap,2022-09-03 22.06.00.jpg (https://v5.airtableusercontent.com/v3/u/25/25/1706493600000/VA9kRWPrMb-Ke27wJJmj4w/V7tKo8gQPOpimJoru235RkNZAKKJhoGNuwE38xG_75bqQlop0iUlAsJqyMOug6lfjPAqf9PNNh8lPVK4tjp33SL-NTm8NIWvvjrd5f-EooCPLGYDeAtlv4n1cJ-bHpla_HYDMS1mqVJePgfGA84EXOzgRraOmZph41Z4WBlV6KY/lz5q7r6zhJN2omp2X3CFy4pJ6vNWMaoUDRbqDQNVfnY),,Current,Other,Strap,,,,,,,,$700.00,$350.00,,,,78,https://gearcheck.nicholewagner.com/item/78,recti13MhAD7TtiAL,,,130720220328114900003564,,Bobbi B-25
Concho Black Strap,,,Current,Other,Strap,Jodi Head,Emmylou,2022,,,2020-01-01,,$250.00,$180.00,,,,85,https://gearcheck.nicholewagner.com/item/85,recs1WDztOGjIArkW,,,,,
