Name,Notes,Dates,Service,Instrument
Strings - 2019-05-13,,2019-05-13,Strings,Rosie Country Western
9 Volt - 2019-05-13,,2019-05-13,9 Volt,Rosie Country Western
Strings - 2019-07-10,Set up + strings,2019-07-10,Strings,Epiphone Casino
Strings - 2019-09-08,Dadarrio lights phosphor bronze,2019-09-08,Strings,Rosie Country Western
Setup - 2020-02-08,,2020-02-08,Setup,Taos Strat
Strings - 2020-02-26,,2020-02-26,Strings,Rosie Country Western
Strings - 2021-03-13,,2021-03-13,Strings,Bobbi B-25
Strings - 2021-04-27,,2021-04-27,Strings,Rosie Country Western
Strings - 2021-06-16,,2021-06-16,Strings,Bobbi B-25
Strings - 2021-06-16,,2021-06-16,Strings,Rosie Country Western
Strings - 2021-08-20,,2021-08-20,Strings,Bobbi B-25
Strings - 2021-12-26,D'Adarrio Lights,2021-12-26,Strings,Rosie Country Western
Strings - 2022-03-15,Elixir Polyweb 80/20 Bronze Custom Lights,2022-03-15,Strings,J-200 Jr.
Strings - 2022-07-24,,2022-07-24,Strings,Rosie Country Western
Strings - 2022-07-24,,2022-07-24,Strings,Taos Strat
Strings - 2022-08-04,,2022-08-04,Strings,Bobbi B-25
Strings - 2022-08-27,,2022-08-27,Strings,Emmylou Harris Gibson
Setup - 2022-09-25,Jason Swedberg,2022-09-25,Setup,Telecaster - Partscaster
Setup - 2022-09-25,Also glue binding,2022-09-25,Setup,Rosie Country Western
Strings - 2023-08-13,D’Adarrio J16,2023-08-13,Strings,J-200 Jr.
Strings - 2023-08-13,Ernie Ball nickel wound 10-46,2023-08-13,Strings,Music Master Fender
Strings - 2023-10-14,Dadarrio j16,2023-10-14,Strings,Nanci’s Taylor 612CE